bin_edges,hist_data,kde_values
9127609.0,1471,8.483331127323645e-09
10757260.292682927,2615,1.2676513248734913e-08
12386911.585365854,1561,1.4988120923174774e-08
14016562.878048781,1629,1.6148545504591227e-08
15646214.170731708,2722,1.655456868158217e-08
17275865.463414636,209,1.5454392364110387e-08
18905516.756097563,2167,1.4024341129172495e-08
20535168.048780486,1222,1.3138790193484932e-08
22164819.341463417,1357,1.2879526438721644e-08
23794470.63414634,1915,1.3819650310537543e-08
25424121.92682927,1922,1.5341072218495694e-08
27053773.219512194,2002,1.6391865608650707e-08
28683424.51219512,1780,1.6243279345399656e-08
30313075.80487805,1317,1.5515895851351205e-08
31942727.097560976,1869,1.6010650980977868e-08
33572378.3902439,2053,1.7272178749601515e-08
35202029.68292683,1946,1.689665642353238e-08
36831680.97560976,1809,1.442973573006016e-08
38461332.26829268,358,1.2623554264568145e-08
40090983.56097561,2411,1.3899938940069495e-08
41720634.85365854,2563,1.566240191313787e-08
43350286.146341465,1017,1.4777274301383175e-08
44979937.43902439,1893,1.3099254791527588e-08
46609588.73170732,546,1.2746281753862244e-08
48239240.02439024,2200,1.3238859429827822e-08
49868891.317073174,1340,1.3777139152555006e-08
51498542.6097561,1261,1.4378162068734194e-08
53128193.90243903,2601,1.545131119644809e-08
54757845.19512195,1070,1.6159784344599633e-08
56387496.48780488,2523,1.5754682889827218e-08
58017147.780487806,398,1.527403029798505e-08
59646799.07317074,2202,1.629046143620917e-08
61276450.36585366,2484,1.7715582008943997e-08
62906101.65853658,1998,1.7645478458093206e-08
64535752.951219514,1747,1.7165087309289825e-08
66165404.24390244,1856,1.7299740172344638e-08
67795055.53658536,2006,1.6953335146306096e-08
69424706.82926829,1771,1.502309375710501e-08
71054358.12195122,1263,1.2225746609804865e-08
72684009.41463414,464,9.970545504842507e-09
74313660.70731708,1567,7.82984585458975e-09
