bin_edges,hist_data,kde_values
210688.67,4687,1.3433156467467122e-06
240508.61821428573,7979,2.35380328480603e-06
270328.5664285714,5332,2.8186405275519357e-06
300148.51464285713,4848,2.8200150745147736e-06
329968.46285714285,7156,2.7227905460402834e-06
359788.41107142856,4557,2.2616202989330214e-06
389608.3592857143,0,1.3123311275504133e-06
419428.3075,0,4.637837879709971e-07
449248.2557142857,0,9.177364463728594e-08
479068.2039285714,0,9.60748242629645e-09
508888.1521428571,0,5.127660757282801e-10
538708.1003571429,0,1.3641324200767575e-11
568528.0485714285,0,1.785037648821554e-13
598347.9967857143,0,1.1558472593882886e-15
628167.945,0,4.331391114388811e-15
657987.8932142857,0,5.656798030770048e-13
687807.8414285714,0,3.591101521115349e-11
717627.7896428572,0,1.116836874589569e-09
747447.7378571428,0,1.726715311488232e-08
777267.6860714286,0,1.3618068442087194e-07
807087.6342857142,571,5.735939274949658e-07
836907.5825,5364,1.3947965081447097e-06
866727.5307142857,6084,2.195310701557536e-06
896547.4789285715,5360,2.552359657021367e-06
926367.4271428571,4146,2.4699888694330954e-06
956187.3753571429,4963,2.187341185292913e-06
986007.3235714285,2458,1.913407394438276e-06
1015827.2717857143,5616,1.6427281072865959e-06
