,Skewness,Kurtosis
CPU Frequency,-1.1380394780360525,-0.5505615122181609
Percent CPU Usage,1.0529500138858856,-0.2700620028673595
CPU User Time,0.020451338258950274,-1.8804807574505895
CPU System Time,-0.0005113781479915357,-1.9158621151651962
CPU Idle Time,-0.0006768531851287413,-1.991604358628451
Percent Memory Usage,1.7412575492248608,1.766247942599212
Network Bytes Sent,-0.004930399855470672,-1.9527122894424842
Network Bytes Recieved,0.001896280980906192,-1.9566662565868018
Network Upload Rate,68.78678005194398,5708.06379789662
Network Download Rate,9.959524085374575,125.08069809143473
Temperature,0.8518187993465833,0.08325821851987003
Bit Rate,1.1566364576102732,-0.6269087831861282
