bin_edges,hist_data,kde_values
3498.51,3990,1.6209919853095974e-06
20887.88333333333,3773,2.6711866293740883e-06
38277.25666666667,4228,3.243552813168992e-06
55666.63,3915,3.3916696918238593e-06
73056.00333333333,4111,3.391027989254626e-06
90445.37666666666,4105,3.378457937744068e-06
107834.74999999999,4143,3.3343769160631754e-06
125224.12333333332,4135,3.0660034483839352e-06
142613.49666666667,2158,2.288926567648681e-06
160002.87,0,1.1693899799509456e-06
177392.24333333335,0,3.5634193981352413e-07
194781.61666666667,0,5.940206192878515e-08
212170.99,0,5.1557881456623495e-09
229560.36333333334,0,2.2659648261023577e-10
246949.73666666666,0,4.968891766216923e-12
264339.11,0,8.114220614686092e-13
281728.48333333334,0,4.55336428399048e-11
299117.8566666667,0,1.359051785870485e-09
316507.23,0,2.047818013463523e-08
333896.60333333333,0,1.5996317346682914e-07
351285.9766666667,464,6.759991397096042e-07
368675.35,3257,1.654142350204845e-06
386064.7233333333,3970,2.6082491360935177e-06
403454.0966666667,3606,3.084376547981031e-06
420843.47,3930,3.2034174188714842e-06
438232.8433333333,4126,3.2146469639990617e-06
455622.2166666667,4204,3.1965991884962593e-06
473011.59,4096,3.138692853791258e-06
490400.9633333333,3370,2.9670535811963956e-06
507790.33666666667,3529,2.4712254925385485e-06
