CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature,Bit Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0089,0.005,0.0079,0.0,0.0011,0.0015,0.0,0.0,0.0,0.0
0.2286,0.1781,1.0,0.0,0.0623,0.0001,0.2314,0.0308,0.9874,0.9577,0.0064,0.202
0.2052,0.5569,0.0,1.0,0.0,0.0001,0.0575,0.1156,0.8985,0.8905,0.017,0.2638
0.6106,0.5233,0.0898,0.0,1.0,0.0,0.0402,0.0499,0.9128,0.8429,0.019,0.256
0.0,0.0,0.2919,0.2575,0.3945,1.0,0.3481,0.3135,0.0,0.0,0.0,0.0
0.345,0.426,0.0014,0.0002,0.0002,0.0013,1.0,0.0186,0.0004,0.3955,0.0327,0.2743
0.145,0.3071,0.0304,0.1101,0.0333,0.0001,0.0489,1.0,0.2342,0.2959,0.0136,0.1299
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0005,0.0006,0.0002,0.0,0.0004,0.0004,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0745,0.079,0.0792,0.0,0.0629,0.0808,0.0,0.0,0.0,1.0
