bin_edges,hist_data,kde_values
249805171.0,2415,1.3524181750228896e-10
405322978.1935484,4150,2.2124318928244814e-10
560840785.3870968,3805,2.8814152835749707e-10
716358592.5806451,2139,3.1278987732198617e-10
871876399.7741935,3022,3.067711593945069e-10
1027394206.967742,4036,2.9969109742782503e-10
1182912014.1612902,3758,3.034881759557741e-10
1338429821.3548386,2125,3.1203707750021775e-10
1493947628.548387,3219,3.178827353470203e-10
1649465435.7419355,4206,2.9285143026136616e-10
1804983242.935484,1683,2.0941306202759503e-10
1960501050.1290321,0,1.0131090869296382e-10
2116018857.3225806,0,3.000435569086955e-11
2271536664.516129,0,5.052130794377256e-12
2427054471.709677,0,4.575987478796739e-13
2582572278.903226,0,2.1461996469680094e-14
2738090086.096774,0,5.31457098997209e-16
2893607893.2903223,0,1.6060951642474242e-15
3049125700.483871,0,5.79656660525175e-14
3204643507.677419,0,1.078141454575171e-12
3360161314.870968,0,1.0491267686661069e-11
3515679122.064516,0,5.495869442284112e-11
3671196929.2580643,3532,1.627097494402104e-10
3826714736.451613,4335,2.960605605652588e-10
3982232543.645161,4374,3.748121807504509e-10
4137750350.8387094,4265,3.801223549986511e-10
4293268158.032258,2597,3.586393877721443e-10
4448785965.225806,4312,3.557936832355926e-10
4604303772.419354,3397,3.555453556897865e-10
4759821579.612903,2888,3.2804032681499157e-10
4915339386.806452,4852,2.707080089570457e-10
