bin_edges,hist_data,kde_values
0.0,33252,16066.649645192274
9.992651312963387e-08,4423,16070.695251171719
1.9985302625926773e-07,1642,16074.469397990577
2.997795393889016e-07,437,16077.9719177796
3.9970605251853546e-07,352,16081.202656603065
4.996325656481693e-07,3329,16084.161474407441
5.995590787778032e-07,126,16086.848245100764
6.994855919074371e-07,362,16089.262856550675
7.994121050370709e-07,1472,16091.405210596084
8.993386181667048e-07,90,16093.275223020579
9.992651312963387e-07,674,16094.872823514688
1.0991916444259726e-06,214,16096.197955870557
1.1991181575556064e-06,294,16097.250577734838
1.2990446706852401e-06,118,16098.030660822727
1.3989711838148741e-06,329,16098.53819079415
1.498897696944508e-06,248,16098.773167268659
1.5988242100741418e-06,173,16098.735603864312
1.6987507232037756e-06,2190,16098.425528213516
1.7986772363334096e-06,727,16097.84298189009
1.8986037494630435e-06,1176,16096.988020384804
1.9985302625926773e-06,753,16095.86071324269
2.098456775722311e-06,322,16094.461143918721
2.1983832888519452e-06,258,16092.789409802406
2.298309801981579e-06,534,16090.84562224136
2.3982363151112128e-06,388,16088.629906520377
2.4981628282408465e-06,199,16086.142401837844
2.5980893413704803e-06,2266,16083.383261250605
2.6980158545001145e-06,161,16080.352651746802
2.7979423676297482e-06,724,16077.050754170403
2.897868880759382e-06,391,16073.477763243027
2.997795393889016e-06,196,16069.633887439275
3.09772190701865e-06,155,16065.519349181972
3.1976484201482837e-06,444,16061.134384605073
3.2975749332779174e-06,304,16056.479243616985
3.397501446407551e-06,99,16051.554189898221
3.4974279595371854e-06,1469,16046.359500911349
3.597354472666819e-06,323,16040.895467690283
3.697280985796453e-06,322,16035.162395115247
3.797207498926087e-06,221,16029.160601571828
3.897134012055721e-06,139,16022.890419136962
3.997060525185355e-06,237,16016.352193505854
4.096987038314988e-06,94,16009.546283851842
4.196913551444622e-06,207,16002.473062982259
4.296840064574256e-06,408,15995.132917099661
4.3967665777038905e-06,344,15987.52624593137
4.496693090833524e-06,251,15979.65346264653
4.596619603963158e-06,112,15971.514993743638
4.696546117092792e-06,83,15963.111279099348
4.7964726302224255e-06,50,15954.442771961458
4.896399143352059e-06,162,15945.509938788466
4.996325656481693e-06,54,15936.313259275195
5.096252169611327e-06,74,15926.853226304243
5.1961786827409606e-06,237,15917.130345981695
5.296105195870595e-06,63,15907.145137449363
5.396031709000229e-06,101,15896.898132895807
5.495958222129863e-06,42,15886.389877557913
5.5958847352594965e-06,47,15875.620929634224
5.69581124838913e-06,33,15864.591860242579
5.795737761518764e-06,57,15853.30325333515
5.895664274648398e-06,29,15841.755705770718
5.995590787778032e-06,38,15829.949827018418
6.095517300907666e-06,105,15817.886239417996
6.1954438140373e-06,38,15805.565577877622
6.295370327166934e-06,35,15792.988489930627
6.395296840296567e-06,33,15780.15563567246
6.495223353426201e-06,35,15767.067687635788
6.595149866555835e-06,42,15753.725330827805
6.695076379685469e-06,46,15740.129262663588
6.795002892815102e-06,48,15726.280192820868
6.894929405944737e-06,36,15712.178843228236
